"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"02101","1050","1188","248","181","1279","530","1628","223","387","06-12-2020 11:00:04"
"02102","617","785","154","138","756","354","1192","93","117","06-12-2020 11:00:04"
"02103","779","879","148","120","1047","343","1218","156","284","06-12-2020 11:00:04"
"02104","532","643","140","93","627","315","965","54","156","06-12-2020 11:00:04"
"02105","947","1163","198","191","1280","441","1580","195","335","06-12-2020 11:00:04"
"02106","650","750","177","117","793","313","1112","109","179","06-12-2020 11:00:04"
"02107","752","911","181","156","897","429","1378","135","150","06-12-2020 11:00:04"
"02108","754","921","224","130","878","443","1387","106","182","06-12-2020 11:00:04"
"02109","951","1124","236","217","1091","531","1747","135","193","06-12-2020 11:00:04"
"02110","886","1042","240","162","1173","353","1447","167","314","06-12-2020 11:00:04"
"02111","836","1000","207","132","1091","406","1420","135","281","06-12-2020 11:00:04"
"02112","605","694","126","95","665","413","1117","81","101","06-12-2020 11:00:04"
"02113","1068","1162","317","178","1130","605","1859","111","260","06-12-2020 11:00:04"
"02114","753","931","163","138","904","479","1370","100","214","06-12-2020 11:00:04"
"02115","630","736","157","132","766","311","1066","95","205","06-12-2020 11:00:04"
"02116","463","544","116","98","544","249","893","28","86","06-12-2020 11:00:04"
"02117","546","677","142","80","647","354","973","74","176","06-12-2020 11:00:04"
"02118","693","813","149","138","913","306","1202","105","199","06-12-2020 11:00:04"
"02119","612","676","135","84","722","347","1091","58","139","06-12-2020 11:00:04"
"02120","560","609","86","90","685","308","968","75","126","06-12-2020 11:00:04"
"02121","592","657","133","110","715","291","1015","78","156","06-12-2020 11:00:04"
"02122","479","576","95","91","566","303","899","57","99","06-12-2020 11:00:04"
"02123","547","581","97","79","691","261","876","111","141","06-12-2020 11:00:04"
"02124","494","596","111","84","571","324","958","48","84","06-12-2020 11:00:04"
"02125","768","926","170","127","924","473","1432","79","183","06-12-2020 11:00:04"
"02126","672","805","125","132","811","409","1236","89","152","06-12-2020 11:00:04"
"02127","559","603","108","89","723","242","864","101","197","06-12-2020 11:00:04"
"02128","613","719","127","109","813","283","993","97","242","06-12-2020 11:00:04"
"02129","682","833","125","118","865","407","1205","75","235","06-12-2020 11:00:04"
"02130","527","598","122","91","563","349","999","44","82","06-12-2020 11:00:04"
"02131","536","627","113","95","666","289","881","80","202","06-12-2020 11:00:04"
"02132","518","557","106","76","624","269","870","50","155","06-12-2020 11:00:04"
"02133","374","465","72","59","408","300","721","29","89","06-12-2020 11:00:04"
"02134","711","774","132","117","844","392","1164","102","219","06-12-2020 11:00:04"
"02135","1014","1138","213","178","1360","401","1614","182","356","06-12-2020 11:00:04"
"02136","407","486","78","72","503","240","737","50","106","06-12-2020 11:00:04"
"02137","710","783","141","137","925","290","1057","138","298","06-12-2020 11:00:04"
"02138","935","1034","206","178","1109","476","1582","137","250","06-12-2020 11:00:04"
"02139","794","902","149","138","1107","302","1184","211","301","06-12-2020 11:00:04"
"02140","874","1035","190","159","1151","409","1519","139","251","06-12-2020 11:00:04"
"02141","548","633","106","114","687","274","896","68","217","06-12-2020 11:00:04"
"02142","980","1091","210","191","1285","385","1520","172","379","06-12-2020 11:00:04"
"02143","699","704","139","114","856","294","998","159","246","06-12-2020 11:00:04"
"02144","736","827","134","162","970","297","1108","179","276","06-12-2020 11:00:04"
"02145","600","641","120","99","802","220","872","114","255","06-12-2020 11:00:04"
"02146","550","644","102","106","720","266","901","107","186","06-12-2020 11:00:04"
"02147","1011","1146","209","203","1300","445","1631","164","362","06-12-2020 11:00:04"
"02148","737","876","155","124","973","361","1251","141","221","06-12-2020 11:00:04"
"02149","897","936","203","157","1147","326","1345","172","316","06-12-2020 11:00:04"
"02150","741","818","152","135","970","302","1067","163","329","06-12-2020 11:00:04"
"02151","703","814","144","127","959","287","1085","164","268","06-12-2020 11:00:04"
"02152","575","697","114","93","662","403","1012","102","158","06-12-2020 11:00:04"
"02153","633","714","146","108","714","379","1108","67","172","06-12-2020 11:00:04"
"02154","527","558","100","77","705","203","714","118","253","06-12-2020 11:00:04"
"02155","867","997","180","161","1043","480","1448","134","282","06-12-2020 11:00:04"
"02156","619","665","98","101","697","388","1032","79","173","06-12-2020 11:00:04"
"02157","560","671","136","114","678","303","922","103","206","06-12-2020 11:00:04"
"02158","777","832","155","120","921","413","1257","123","229","06-12-2020 11:00:04"
"02159","955","1021","223","179","1179","395","1460","165","351","06-12-2020 11:00:04"
"02160","954","1034","193","168","1171","456","1561","146","281","06-12-2020 11:00:04"
"02161","578","634","112","118","754","228","873","154","185","06-12-2020 11:00:04"
"02162","698","739","129","126","853","329","1061","115","261","06-12-2020 11:00:04"
"02163","885","957","151","155","1131","405","1380","190","272","06-12-2020 11:00:04"
"02164","721","758","137","133","950","259","981","203","295","06-12-2020 11:00:04"
"02165","848","887","182","132","1071","350","1269","176","290","06-12-2020 11:00:04"
"02166","1016","1106","246","174","1300","402","1491","223","408","06-12-2020 11:00:04"
"02167","1032","1109","238","188","1211","504","1684","162","295","06-12-2020 11:00:04"
"02168","1067","1212","256","154","1421","448","1643","232","404","06-12-2020 11:00:04"
"02169","749","800","147","110","991","301","1146","175","228","06-12-2020 11:00:04"
"02170","728","845","147","145","935","346","1200","131","242","06-12-2020 11:00:04"
"02171","813","866","185","134","986","374","1200","137","342","06-12-2020 11:00:04"
"02172","766","836","163","119","1035","285","1134","163","305","06-12-2020 11:00:04"
"02173","733","809","147","133","954","308","1195","134","213","06-12-2020 11:00:04"
"03001","810","887","179","139","991","388","1255","146","296","06-12-2020 11:00:04"
"03002","951","978","199","160","1228","342","1304","206","419","06-12-2020 11:00:04"
"03003","819","889","185","150","1104","269","1084","158","466","06-12-2020 11:00:04"
"03004","781","860","169","117","1034","321","1162","152","327","06-12-2020 11:00:04"
"03005","579","645","132","77","718","297","860","114","250","06-12-2020 11:00:04"
"03006","705","712","168","116","923","210","908","181","328","06-12-2020 11:00:04"
"03007","813","891","194","156","1036","318","1152","173","379","06-12-2020 11:00:04"
"03008","565","610","127","96","744","208","788","118","269","06-12-2020 11:00:04"
"03009","594","657","119","93","788","251","874","111","266","06-12-2020 11:00:04"
"03010","1006","919","195","203","1272","255","1145","214","566","06-12-2020 11:00:04"
"03011","895","885","215","181","1170","214","1032","210","538","06-12-2020 11:00:04"
"03012","1075","1116","203","212","1445","331","1324","304","563","06-12-2020 11:00:04"
"03013","905","920","194","192","1234","205","1050","298","477","06-12-2020 11:00:04"
"03014","904","907","185","155","1222","249","1079","262","470","06-12-2020 11:00:04"
"03015","1515","1554","324","301","2010","434","1800","432","837","06-12-2020 11:00:04"
"03016","602","662","127","122","844","171","726","164","374","06-12-2020 11:00:04"
"03017","857","850","196","153","1162","196","951","269","487","06-12-2020 11:00:04"
"03018","887","863","196","167","1064","323","1187","164","399","06-12-2020 11:00:04"
"03019","748","828","185","139","1016","236","974","156","446","06-12-2020 11:00:04"
"03020","627","595","112","90","706","314","927","93","202","06-12-2020 11:00:04"
"03021","520","578","106","88","584","320","871","73","154","06-12-2020 11:00:04"
"03022","731","729","161","125","885","289","1048","141","271","06-12-2020 11:00:04"
"03023","954","969","221","153","1269","280","1272","239","412","06-12-2020 11:00:04"
"03024","1059","1031","254","186","1391","259","1357","304","429","06-12-2020 11:00:04"
"03025","693","657","174","99","847","230","1153","30","167","06-12-2020 11:00:04"
"03026","485","535","102","83","462","373","901","24","95","06-12-2020 11:00:04"
"03027","846","920","193","242","937","394","1555","56","155","06-12-2020 11:00:04"
"03028","1325","1368","492","307","1559","335","2112","109","472","06-12-2020 11:00:04"
"03029","636","679","147","146","777","245","1141","42","132","06-12-2020 11:00:04"
"03030","740","864","163","170","928","343","1299","61","244","06-12-2020 11:00:04"
"03031","1169","1272","283","251","1307","600","2156","52","233","06-12-2020 11:00:04"
"03032","833","898","268","153","989","321","1404","76","251","06-12-2020 11:00:04"
"03033","750","745","193","165","854","283","1039","41","415","06-12-2020 11:00:04"
"03034","724","806","165","168","896","301","1269","27","234","06-12-2020 11:00:04"
"03035","1088","1184","225","207","1269","571","1943","65","264","06-12-2020 11:00:04"
"03036","1159","1252","299","249","1376","487","2026","101","284","06-12-2020 11:00:04"
"03037","493","544","90","116","660","171","929","19","89","06-12-2020 11:00:04"
"03038","455","506","138","118","493","212","875","12","74","06-12-2020 11:00:04"
"03039","1224","1335","412","269","1452","426","1946","80","533","06-12-2020 11:00:04"
"03040","686","788","118","130","794","432","1269","68","137","06-12-2020 11:00:04"
"03041","674","747","149","146","811","315","1100","97","224","06-12-2020 11:00:04"
"03042","691","715","136","141","854","275","1045","93","268","06-12-2020 11:00:04"
"03043","746","892","138","145","905","450","1239","122","277","06-12-2020 11:00:04"
"03044","906","986","186","171","1184","351","1349","133","410","06-12-2020 11:00:04"
"03045","519","546","122","73","654","216","831","101","133","06-12-2020 11:00:04"
"03046","673","756","103","105","813","408","1155","101","173","06-12-2020 11:00:04"
"03047","853","927","178","152","1133","317","1357","137","286","06-12-2020 11:00:04"
"03048","634","708","119","92","794","337","1043","83","216","06-12-2020 11:00:04"
"03049","786","885","192","108","995","376","1230","150","291","06-12-2020 11:00:04"
"03050","812","835","155","115","1072","305","1206","177","264","06-12-2020 11:00:04"
"03051","988","993","252","188","1292","249","1316","178","487","06-12-2020 11:00:04"
"03052","613","710","161","123","851","188","923","124","276","06-12-2020 11:00:04"
"03053","1063","1154","282","190","1365","380","1493","187","537","06-12-2020 11:00:04"
"03054","811","854","151","139","974","401","1323","110","232","06-12-2020 11:00:04"
"03055","780","862","157","130","995","360","1265","115","262","06-12-2020 11:00:04"
"03056","426","510","96","72","519","249","724","53","159","06-12-2020 11:00:04"
"03057","706","775","139","105","827","410","1273","60","148","06-12-2020 11:00:04"
"03058","816","941","237","131","1036","353","1478","101","178","06-12-2020 11:00:04"
"03059","602","625","153","86","699","289","973","55","199","06-12-2020 11:00:04"
"03060","698","721","150","108","801","360","1227","57","135","06-12-2020 11:00:04"
"03061","531","611","114","98","648","282","906","60","176","06-12-2020 11:00:04"
"03062","726","832","180","142","877","359","1323","77","158","06-12-2020 11:00:04"
"03063","963","995","355","153","1178","272","1550","113","295","06-12-2020 11:00:04"
"03064","573","645","132","114","712","260","1055","40","123","06-12-2020 11:00:04"
"03065","655","709","102","126","847","289","1227","29","108","06-12-2020 11:00:04"
"03066","1125","1219","282","247","1339","476","1952","82","310","06-12-2020 11:00:04"
"03067","836","944","203","138","989","450","1483","49","248","06-12-2020 11:00:04"
"03068","555","632","117","83","656","331","972","39","176","06-12-2020 11:00:04"
"03069","577","624","127","88","672","314","1033","31","137","06-12-2020 11:00:04"
"03070","665","681","139","126","763","318","1034","71","241","06-12-2020 11:00:04"
"03071","654","711","150","150","803","262","1051","85","229","06-12-2020 11:00:04"
"03072","694","768","160","124","882","296","1115","46","301","06-12-2020 11:00:04"
"03073","775","820","162","125","957","351","1322","61","212","06-12-2020 11:00:04"
"03074","853","978","205","148","1055","423","1470","81","280","06-12-2020 11:00:04"
"03075","831","932","217","165","1025","356","1368","67","328","06-12-2020 11:00:04"
"03076","514","594","123","79","625","281","858","47","203","06-12-2020 11:00:04"
"03077","608","726","129","128","760","317","1067","66","201","06-12-2020 11:00:04"
"03078","839","927","211","146","1095","314","1303","84","379","06-12-2020 11:00:04"
"03079","850","978","201","188","1104","335","1312","92","424","06-12-2020 11:00:04"
"03080","700","863","152","143","886","382","1270","52","241","06-12-2020 11:00:04"
"03081","931","1033","197","195","1133","439","1498","77","389","06-12-2020 11:00:04"
"03082","885","1032","197","181","1135","404","1512","93","312","06-12-2020 11:00:04"
"03083","645","746","126","86","839","340","1152","61","178","06-12-2020 11:00:04"
"03084","652","770","151","120","721","430","1236","43","143","06-12-2020 11:00:04"
"03085","642","734","156","97","831","292","1106","66","204","06-12-2020 11:00:04"
"03086","590","649","110","107","628","394","1102","51","86","06-12-2020 11:00:04"
"03087","691","777","157","118","778","415","1227","44","197","06-12-2020 11:00:04"
"03088","672","761","173","113","782","365","1147","89","197","06-12-2020 11:00:04"
"03089","587","671","135","88","677","358","1103","61","94","06-12-2020 11:00:04"
"03090","465","544","91","102","573","243","901","46","62","06-12-2020 11:00:04"
"03091","733","770","159","156","929","259","1182","81","240","06-12-2020 11:00:04"
"03092","567","651","140","101","745","232","985","78","155","06-12-2020 11:00:04"
"03093","695","822","141","158","867","351","1334","50","133","06-12-2020 11:00:04"
"03094","574","666","141","105","708","286","1054","65","121","06-12-2020 11:00:04"
"03095","768","888","177","140","999","340","1296","112","248","06-12-2020 11:00:04"
"03096","749","847","176","155","1011","254","1180","108","308","06-12-2020 11:00:04"
"03097","825","897","192","146","1179","205","1133","128","461","06-12-2020 11:00:04"
"03098","717","736","164","141","912","236","1038","109","306","06-12-2020 11:00:04"
"03099","451","545","124","79","618","175","810","60","126","06-12-2020 11:00:04"
"03100","606","738","164","103","806","271","1004","105","235","06-12-2020 11:00:04"
"03101","2539","1716","466","460","2916","413","1685","277","2293","06-12-2020 11:00:04"
"03102","623","683","154","106","781","265","1011","60","235","06-12-2020 11:00:04"
"03103","528","627","121","73","602","359","1018","41","96","06-12-2020 11:00:04"
"03104","693","759","149","132","922","249","1067","119","266","06-12-2020 11:00:04"
"03105","532","668","140","111","735","214","913","72","215","06-12-2020 11:00:04"
"03106","595","681","147","104","823","202","960","126","190","06-12-2020 11:00:04"
"03107","803","843","177","155","966","348","1276","75","295","06-12-2020 11:00:04"
"03108","792","882","216","131","1012","315","1242","104","328","06-12-2020 11:00:04"
"03109","758","804","181","134","986","261","1201","120","241","06-12-2020 11:00:04"
"03110","700","803","166","113","918","306","1200","93","210","06-12-2020 11:00:04"
"03111","599","708","180","89","773","265","1076","74","157","06-12-2020 11:00:04"
"03112","882","982","211","147","1080","426","1570","85","209","06-12-2020 11:00:04"
"03113","758","871","161","143","879","446","1293","84","252","06-12-2020 11:00:04"
"03114","690","781","136","130","805","400","1233","99","139","06-12-2020 11:00:04"
"03211","764","787","166","217","934","234","1317","18","216","06-12-2020 11:00:04"
"03212","1168","1315","290","231","1312","650","1944","81","458","06-12-2020 11:00:04"
"03213","1197","1264","315","304","1451","391","1797","70","594","06-12-2020 11:00:04"
"04001","593","670","148","118","738","259","982","73","208","06-12-2020 11:00:04"
"04002","927","1012","244","171","1042","482","1704","59","176","06-12-2020 11:00:04"
"04003","498","546","118","81","551","294","918","29","97","06-12-2020 11:00:04"
"04004","485","514","102","71","572","254","850","34","115","06-12-2020 11:00:04"
"04005","563","668","146","96","660","329","1070","44","117","06-12-2020 11:00:04"
"04006","501","598","130","89","571","309","960","36","103","06-12-2020 11:00:04"
"04007","473","591","122","77","568","297","871","50","143","06-12-2020 11:00:04"
"04008","464","536","115","69","561","255","835","27","138","06-12-2020 11:00:04"
"04009","683","788","171","113","851","336","1229","74","168","06-12-2020 11:00:04"
"04010","413","487","99","111","468","222","771","28","101","06-12-2020 11:00:04"
"04011","817","929","245","136","832","533","1525","72","149","06-12-2020 11:00:04"
"04012","645","752","126","117","738","416","1234","48","115","06-12-2020 11:00:04"
"04013","569","652","137","103","646","335","1075","53","93","06-12-2020 11:00:04"
"04014","376","452","90","77","418","243","723","24","81","06-12-2020 11:00:04"
"04015","843","1032","186","159","1072","458","1639","71","165","06-12-2020 11:00:04"
"04016","514","587","119","78","581","323","965","47","89","06-12-2020 11:00:04"
"04017","552","665","162","72","628","355","1049","66","102","06-12-2020 11:00:04"
"04018","695","838","179","167","781","406","1331","79","123","06-12-2020 11:00:04"
"04019","640","709","175","153","676","345","1154","69","126","06-12-2020 11:00:04"
"04020","684","809","204","161","756","372","1282","71","140","06-12-2020 11:00:04"
"04021","602","701","161","136","655","351","1121","73","109","06-12-2020 11:00:04"
"04022","772","846","158","155","885","420","1288","98","232","06-12-2020 11:00:04"
"04023","484","559","133","124","494","292","905","39","99","06-12-2020 11:00:04"
"04024","481","552","137","110","491","295","965","19","49","06-12-2020 11:00:04"
